ingredient,pcount
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#cheese,116
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#pepper,65
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#mozzarella,59
http://www.semanticweb.org/city/in3067-inm713/2024/restaurants#chicken,54
